"ItemType","ID","Model"
"Static","BlackreachEDoor01Hole","Dungeons\Caves\Blackreach\BlackreachEDoor01Hole.ni..."
"Static","BlackreachEDoor02","Dungeons\Caves\Blackreach\BlackreachEDoor02.nif"
"Static","BlackreachEDoor02Hole","Dungeons\Caves\Blackreach\BlackreachEDoor02Hole.ni..."
"Static","BlackreachEDoor03","Dungeons\Caves\Blackreach\BlackreachEDoor03.nif"
"Static","BlackreachEDoor03Hole","Dungeons\Caves\Blackreach\BlackreachEDoor03Hole.ni..."
"Static","BlackreachEDoor04","Dungeons\Caves\Blackreach\BlackreachEDoor04.nif"
"Static","BlackreachEDoor04Hole","Dungeons\Caves\Blackreach\BlackreachEDoor04Hole.ni..."
"Static","BlackreachEDoorUp01","Dungeons\Caves\Blackreach\BlackreachEDoorUp01.nif"
"Static","BlackreachEDoorUp01Hole","Dungeons\Caves\Blackreach\BlackreachEDoorUp01Hole...."
"Static","BlackreachEDoorUp02","Dungeons\Caves\Blackreach\BlackreachEDoorUp02.nif"
"Static","BlackreachEDoorUp02Hole","Dungeons\Caves\Blackreach\BlackreachEDoorUp02Hole...."
"Static","BlackreachEDoorUp03","Dungeons\Caves\Blackreach\BlackreachEDoorUp03.nif"
"Static","BlackreachEDoorUp03Hole","Dungeons\Caves\Blackreach\BlackreachEDoorUp03Hole...."
"Static","BlackreachEDoorUp04","Dungeons\Caves\Blackreach\BlackreachEDoorUp04.nif"
"Static","BlackreachEDoorUp04Hole","Dungeons\Caves\Blackreach\BlackreachEDoorUp04Hole...."
"Static","BlackreachEICorner01","Dungeons\Caves\Blackreach\BlackreachEICorner01.nif"
"Static","BlackreachEICorner01Hole","Dungeons\Caves\Blackreach\BlackreachEICorner01Hole..."
"Static","BlackreachEICorner02","Dungeons\Caves\Blackreach\BlackreachEICorner02.nif"
"Static","BlackreachEICorner02Hole","Dungeons\Caves\Blackreach\BlackreachEICorner02Hole..."
"Static","BlackreachEICorner03","Dungeons\Caves\Blackreach\BlackreachEICorner03.nif"
"Static","BlackreachEICorner03Hole","Dungeons\Caves\Blackreach\BlackreachEICorner03Hole..."
"Static","BlackreachEICorner04","Dungeons\Caves\Blackreach\BlackreachEICorner04.nif"
"Static","BlackreachEICorner04Hole","Dungeons\Caves\Blackreach\BlackreachEICorner04Hole..."
"Static","BlackreachEICornerUp01","Dungeons\Caves\Blackreach\BlackreachEICornerUp01.n..."
"Static","BlackreachEICornerUp02","Dungeons\Caves\Blackreach\BlackreachEICornerUp02.n..."
"Static","BlackreachEICornerUp03","Dungeons\Caves\Blackreach\BlackreachEICornerUp03.n..."
"Static","BlackreachEICornerUp04","Dungeons\Caves\Blackreach\BlackreachEICornerUp04.n..."
"Static","BlackreachEMid01","Dungeons\Caves\Blackreach\BlackreachEMid01.nif"
"Static","BlackreachEMid01c","Dungeons\Caves\Blackreach\BlackreachEMid01c.nif"
"Static","BlackreachEMid01_Blackreach","Dungeons\Caves\Blackreach\BlackreachEMid01.nif"
"Static","BlackreachEpicMushroom01","Clutter\Blackreach\BlackreachEpicMushroom01.nif"
"Static","BlackreachEPillar01","Dungeons\Caves\Blackreach\BlackreachEPillar01.nif"
